Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
3.1274634,1.9812695,1331.83693,2.5802896,103.2675998,813.0378617,4225,4.5756,0.693431
7.4931613,1.9339295,1650.64705,2.7733674,32.2107098,607.6028794,4225,4.5756,0.693431
49.825166,3.8714976,2059.406904,3.8319135,2.5760566,323.1161011,4225,4.5756,0.693431
18.0574016,3.592177,1198.057213,3.8092663,58.1250403,704.2235859,5897,4.45922,1.01
20.8774413,3.562,771,2.16145,17.8402,572,5396,4.50457,0.9
1.0214555,1.252,319,1.46266,733.19,1449,5098,4.54682,0.82
2.7441672,1.418,5650,7.84317,172.233,1009,5040,4.38482,0.97
2.2047452,3.996,6872,17.9781,7992.22,2634,6532.23,3.96818,1.99
10.8948421,2.0719394,3168.385358,2.4691414,5.5137471,390.8242112,3618,4.79432,0.435666
18.8016111,1.9093524,1686.788103,1.9112282,2.6636757,325.8292621,3618,4.79432,0.435666
8.157721,3.788,10273,9.31888,91.0972,860,5091.2,4.47,0.9
4.2529641,2.5733867,758.584999,2.3483383,231.2034004,994.5309519,5591,4.38111,0.848906
9.2378703,2.535,660,2.22995,54.6767,757,5591,4.38111,0.85
3.7955178,2.0198135,52278.9941,10.3261619,18.0832336,525.9431131,3424,4.438,0.445372
14.3034613,3.135,48840,18.4949,15.38,551,5056.6,4.53,0.83
6.1349783,5.661,3860,13.1383,861.554,1509,5828.7,3.84,2.05
3.3159772,1.494,2770,4.5947,120.595,923,4972.7,4.54,0.81
4.6313014,1.435,4860,9.34848,225.013,1078,5736,4.39,1.07
19.3203478,4.215,13910,9.38964,13.544,534,4968.1,4.5,0.8
11.3246821,5.9704136,1937.582972,4.2917226,59.1706102,707.3693882,5518,4.59176,0.824734
6.261169,2.0369188,4005.022808,1.3468319,6.9816945,414.5815396,3145,5.04431,0.211257
14.8559691,3.711,1127,2.72638,64.0545,788,5544,4.5609,0.86
14.4751062,1.6182484,9618.579853,8.6976173,6.5402175,407.866275,3841,4.69364,0.55035
9.6141636,3.4271882,933.6532689,3.2264735,74.7359105,749.8978043,5477,4.5707,0.840608
4.9404714,1.954,455,2.3216,320.012,1178,6086,4.26269,1.13
9.6926392,3.0182304,1838.237055,3.289074,36.4257934,626.5734732,4665,4.56182,0.746003
6.390888,3.766,435,2.47201,376.532,1227,6191,4.27017,1.32
0.9689927,2.5496309,13532.97102,17.1331258,6992.032823,2332.225901,6430,4.25113,1.41398
10.338505,4.242,18162,11.8729,110.512,903,5336.96,4.55466,0.84
1.283251,2.012261,1961.318203,2.558112,172.0252913,923.6720985,3855,4.68499,0.560391
1.2284388,1.9190118,1229.496513,1.866263,118.2802346,841.1003116,3526,4.71105,0.53023
9.6001126,4.9882857,380.4193796,2.4070295,193.1543783,950.8147029,5891,4.30161,1.2103699
2.6998294,2.208,2798,4.94551,1198.41,1639,6180,4.57956,0.92
0.581322,1.3261177,3206.601002,2.2014886,194.5178158,952.4881815,3446,4.83941,0.38621
0.980972,0.5405036,6178.392421,5.9162923,719.5629045,1320.951709,4486,4.49914,0.764401
5.3987355,3.127,352,2.25345,335.249,1192,5875.23,4.26474,1.26
7.16199,7.668,800,5.05452,1230.42,1649,6229,4,1.81
1.4412175,1.666,12927,17.0442,1160.55,1626,5672.9,4.13,1.46
1.6849938,0.916,990,3.76716,342.918,1198,5923,4.38,1.11
3.9152737,2.562,3350,9.43435,311.498,1170,5714,4.05,1.58
