koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad
CONFIRMED,CANDIDATE,0,0,0,0,704.962626,492.77178,0.8495,18.003,2.32E+03,4.53,178,0.24,96.1,5305,4.489,0.818
CONFIRMED,CANDIDATE,0,0,0,0,50.28635977,167.63351,0.018,6.3212,1.12E+03,3.88,543,20.59,99.5,5900,4.309,1.167
CONFIRMED,CANDIDATE,0,0,0,0,22.79020351,138.68515,0.036,5.0394,6.18E+02,2.57,634,38.27,47.7,5478,4.354,1.053
CONFIRMED,CANDIDATE,0,0,0,0,13.26079792,139.0988,0.22,3.912,1.99E+02,1.47,760,78.79,17.6,5478,4.354,1.053
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,1.061932545,133.850441,0.713,2.1429,1.34E+02,2.29,2508,9391.15,80.2,6134,3.975,1.851
CONFIRMED,CANDIDATE,0,0,0,0,127.8334997,293.41845,0.416,10.914,1.83E+03,9.46,554,22.21,76.9,6505,3.973,2.17
CONFIRMED,CANDIDATE,0,0,0,0,10.21864532,136.8622,0.416,3.802,4.45E+02,2.33,920,169.13,26.6,6100,4.376,1.083
CONFIRMED,CANDIDATE,0,0,0,0,15.573637,132.44282,0.946,5.326,4.68E+02,2.94,799,96.38,24.7,6100,4.376,1.083
CONFIRMED,CANDIDATE,0,0,0,0,40.1015561,132.71244,0.868,5.246,5.50E+02,2.92,583,27.31,19,6100,4.376,1.083
CONFIRMED,CANDIDATE,0,0,0,0,4.45814897,134.39743,0.754,2.867,1.88E+02,1.61,1212,511.6,14.3,6100,4.376,1.083
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,5.663621501,133.89009,0.169,1.2968,1.23E+03,2.47,774,84.76,39.8,4917,4.601,0.723
CONFIRMED,CANDIDATE,0,0,0,0,6.230335,181.29566,0.808,1.6493,1.45E+03,3.7,875,138.33,31.6,5477,4.557,0.865
CONFIRMED,CANDIDATE,0,0,0,0,12.49340725,138.462232,0.594,2.2614,7.16E+02,2.2,649,42.08,76.2,5207,4.561,0.795
CONFIRMED,CANDIDATE,0,0,0,0,6.62643441,183.98789,0.111,3.1752,8.15E+02,2.54,895,151.59,40.6,5616,4.529,0.903
CONFIRMED,CANDIDATE,0,0,0,0,3.70122061,180.27172,0.178,2.523,3.27E+02,1.62,1087,330.02,19.6,5616,4.529,0.903
CANDIDATE,CANDIDATE,0,0,0,0,6.247030799,356.90972,0.039,1.4848,1.50E+03,1.89,512,16.23,44.8,3821,4.764,0.487
CONFIRMED,CANDIDATE,0,0,0,0,13.73474071,142.32752,0.941,2.769,7.46E+02,2.71,634,38.11,31,5196,4.524,0.772
CANDIDATE,CANDIDATE,0,0,0,0,700.0029822,249.44205,0.143,7.6525,3.25E+03,6.43,238,0.76,60.3,6487,4.397,1.118
