koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad
FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,1.1578141,132.43684,0.564,3.253,5.48E+01,1.24,2133,4895.77,27.8,5412,3.941,1.629
CANDIDATE,CANDIDATE,0,0,0,0,15.9513866,146.45425,0.197,2.285,9.92E+01,1.17,849,123.03,9.2,6451,4.375,1.168
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,0.566800926,131.81666,0.971,4.407,2.65E+02,2.19,2200,5563.01,63.2,5780,4.438,1
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,24.1876477,145.8464,1.8212,2.654,1.95E+02,118.8,782,88.31,11.4,6437,4.273,1.31
CANDIDATE,CANDIDATE,0,0,0,0,7.7859111,137.8734,0.675,7.788,4.55E+01,0.68,939,183.92,12,6045,4.479,0.954
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,2.44926655,132.82121,0.253,2.988,1.08E+02,0.76,1033,269.06,10.7,4840,4.551,0.749
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,2.17812826,132.03068,0.344,2.601,1.01E+02,0.81,1206,500.27,10.4,5426,4.579,0.805
CANDIDATE,CANDIDATE,0,0,0,0,31.183688,155.9588,0.8319,6.14,1.40E+02,3.21,876,139.27,7.9,5947,3.814,2.407
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1.33259494,132.0286,0.104,2.783,9.27E+01,0.89,1665,1814.46,7.8,6063,4.51,0.918
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,2.05048377,133.2849,0.013,3.67,6.05E+01,0.66,1339,761.65,14.3,5568,4.451,0.854
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1.19550618,132.3006,0.483,3.337,2.69E+01,0.78,2152,5062.04,13.3,6088,4.15,1.463
CANDIDATE,CANDIDATE,0,0,0,0,2.94242323,133.86084,0.447,1.519,2.93E+02,1.42,1098,344.64,14.7,5436,4.573,0.819
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,0.683082998,131.73271,0.694,4.409,1.43E+02,9.92,6757,492690.35,26.1,8247,3.17,7.762
FALSE POSITIVE,FALSE POSITIVE,1,0,1,0,0.791771167,131.523083,1.224,2.4463,5.09E+02,82.71,3419,32163.04,82.4,6218,3.678,3.07
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.894172544,131.51006,0.162,0.8302,8.62E+01,0.68,1461,1070.89,16.9,4982,4.591,0.736
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,1.68207624,132.12513,0.56,1.519,5.47E+01,1.01,1980,3646.1,11.1,6495,4.191,1.311
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,9.8480917,136.80247,0.127,3.079,1.42E+02,0.88,711,60.47,9.7,5289,4.546,0.748
FALSE POSITIVE,FALSE POSITIVE,1,0,0,1,0.566800593,131.8233,0.2,3.909,1.23E+01,0.48,2783,14091.55,10.4,6476,4.255,1.353
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0.969602551,131.93121,0.415,1.728,1.11E+02,0.69,1334,750.09,10.4,4856,4.643,0.66
CANDIDATE,CANDIDATE,0,0,0,0,13.0914878,143.75198,0.145,2.037,3.75E+01,0.79,892,149.52,8,5919,4.238,1.288
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,9.25801294,132.88335,0.186,2.854,8.81E+01,1.73,1229,539.51,12.9,6200,3.977,1.834
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,25.9554044,148.7989,0.952,8.491,1.23E+02,1.46,656,43.9,11.6,6058,4.408,1.038
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,3.74788208,134.1709,0.09,4.183,1.53E+02,0.94,979,216.97,13.6,5340,4.593,0.777
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,0.93479255,131.88578,1.2,4.5838,2.48E+02,24.75,2040,4108.03,78.3,6018,4.33,1.053
FALSE POSITIVE,FALSE POSITIVE,1,0,1,0,361.43653,421.747,0.2175,9.08,2.72E+02,1.56,268,1.22,10.8,6028,4.398,0.938
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0.89628253,131.54972,0.176,1.397,8.64E+01,0.76,1670,1848.85,13,5561,4.572,0.818
FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1.67495622,131.8099,0.399,2.994,3.59E+01,0.77,1843,2732.19,15.3,6323,4.296,1.263
CANDIDATE,CANDIDATE,0,0,0,0,54.0812235,145.2689,0.182,6.279,4.11E+02,1.54,431,8.19,11.6,5757,4.597,0.762
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,8.2344072,137.4733,0.812,2.808,5.92E+01,1.49,1263,601.05,11.5,6148,3.964,1.741
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,2.15052332,132.3132,0.0303,3.447,1.16E+02,1.17,1410,934.17,11,5780,4.438,1
FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,32.6122381,144.55067,1.252,2.886,1.32E+03,31.96,570,24.92,19.6,5780,4.438,1
FALSE POSITIVE,FALSE POSITIVE,1,0,1,0,0.967073359,131.604602,1.222,2.4875,7.74E+02,28.15,1867,2870.56,92.4,5755,4.402,1.022
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,3.5564279,133.5377,0.359,6.998,1.31E+02,0.8,972,211.41,12.3,5404,4.638,0.694
FALSE POSITIVE,FALSE POSITIVE,1,0,1,0,0.942997994,132.24469,0.153,1.1658,5.39E+02,1.56,1283,639.03,29.2,4499,4.59,0.693
FALSE POSITIVE,FALSE POSITIVE,1,0,1,1,0.566796775,131.83811,0.974,5.471,1.44E+02,0.61,931,176.94,32.2,3453,4.892,0.358
CONFIRMED,CANDIDATE,0,0,0,0,13.6471211,132.2552,0.617,8.331,7.50E+01,1.25,913,164.06,14.7,5771,4.106,1.382
CONFIRMED,CANDIDATE,0,0,0,0,16.473474,142.68604,0.014,4.201,4.71E+02,1.63,612,33.22,13,5364,4.529,0.754
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,3.74788322,134.17324,0.544,3.45,2.43E+02,1.32,1031,266.76,16.3,5514,4.569,0.826
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,0.705455349,131.67764,0.447,2.469,7.49E+01,0.64,1693,1936.09,18,5383,4.614,0.736
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,488.67353,519.7805,0.432,12.35,6.91E+02,2.03,188,0.3,8.2,5218,4.596,0.772
CANDIDATE,CANDIDATE,0,0,0,0,8.5291223,135.74043,0.606,3.241,3.25E+02,2.08,911,162.94,12.8,5543,4.318,1.111
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1.08906057,132.0391,0.29,2.743,7.62E+01,0.75,1511,1235.96,10.4,5087,4.463,0.881
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,1.48922187,132.3722,0.393,1.882,6.14E+02,2.5,1594,1524.19,10.8,5780,4.438,1
FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0.716709761,132.05103,0.986,0.6969,6.84E+01,1.42,2394,7725.24,21.2,6109,4.229,1.173
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,4.1083812,134.8932,0.148,3.279,3.53E+02,1.62,1058,295.63,11.4,5730,4.545,0.87
CONFIRMED,CANDIDATE,0,0,0,0,1.962282625,131.53585,0.169,1.45,6.83E+01,0.81,1448,1038.36,12.9,5726,4.418,0.979
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,0.523629052,131.63487,0.045,3.443,1.22E+02,46.33,9801,2181689.59,61.4,4136,1.392,44.448
CANDIDATE,CANDIDATE,0,0,0,0,6.4546845,135.5436,0.93,3.071,6.99E+01,1.38,1244,565.72,10.8,6474,4.243,1.362
FALSE POSITIVE,FALSE POSITIVE,1,0,0,1,1.04588635,131.9887,0.204,2.833,1.03E+02,1.1,1972,3582.91,13.2,6249,4.428,1.076
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,51.31346091,162.7018814,,3.94,,,,,,,,
CANDIDATE,CANDIDATE,0,0,0,0,0.494247662,131.84441,0.366,1.2443,2.25E+02,1.51,2257,6096.15,18.1,5763,4.484,0.998
CANDIDATE,CANDIDATE,0,0,0,0,11.8299383,138.3039,0.502,5.168,4.14E+01,1.6,1177,453.44,11.7,5747,3.802,2.431
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,419.92898,134.7701,0.0299,14.55,2.34E+02,1.51,255,1,7.5,6047,4.431,0.988
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1.23521458,131.9681,0.458,0.918,8.95E+01,0.93,1713,2032.78,5,5999,4.494,0.959
FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,1.085229874,132.10036,0.439,0.652,2.38E+02,1.37,1632,1675.45,7.6,5713,4.554,0.851
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1.540379557,132.00637,0.329,2.026,7.69E+01,0.81,1581,1481.09,14.6,5812,4.408,0.914
CANDIDATE,CANDIDATE,0,0,0,0,5.30179786,135.9927,0.357,2.24,1.97E+02,1.22,973,211.8,11.5,5749,4.547,0.864
CONFIRMED,CANDIDATE,0,0,0,0,3.60011712,133.25983,0.025,2.396,5.02E+01,0.5,938,182.81,21.6,5051,4.562,0.721
CONFIRMED,CANDIDATE,0,0,0,0,9.32867952,135.87513,0.035,1.572,3.54E+02,1.62,806,99.6,12.7,5749,4.547,0.864
CONFIRMED,CANDIDATE,0,0,0,0,6.38671206,131.52991,0.015,1.201,2.24E+02,1.19,811,102.25,11.6,5071,4.505,0.811
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,158.348345,260.2924,3.655,10.55,8.99E+02,372.86,409,6.61,17.6,6521,4.352,1.276
CANDIDATE,CANDIDATE,0,0,0,0,0.849362238,132.14191,0.453,1.36,1.15E+02,0.85,1498,1190.04,11.9,4973,4.595,0.788
CANDIDATE,CANDIDATE,0,0,0,0,0.741768294,131.57747,1.201,0.4164,6.03E+01,72.36,3380,30981.32,14,5897,3.637,3.147
FALSE POSITIVE,FALSE POSITIVE,1,0,1,1,0.93376962,132.4211,1.142,7.023,1.26E+02,16.3,1937,3343.62,28.5,6056,4.448,0.975
FALSE POSITIVE,FALSE POSITIVE,1,0,1,1,322.48381,189.1585,0.938,22.99,1.02E+03,3.5,259,1.06,27,5968,4.534,0.881
CANDIDATE,CANDIDATE,0,0,0,0,61.083322,132.494,0.649,10.396,2.28E+02,1.61,465,11.01,11.5,5803,4.444,1.015
CANDIDATE,CANDIDATE,0,0,0,0,3.5944891,132.36207,0.041,2.557,8.99E+01,0.98,1178,455.99,10.4,5523,4.364,1.046
FALSE POSITIVE,FALSE POSITIVE,1,0,1,0,0.739404894,131.69907,0.077,1.753,2.47E+02,0.94,1256,589.06,21,4205,4.635,0.624
CANDIDATE,CANDIDATE,0,0,0,0,4.8608059,135.76776,0.374,1.966,2.52E+02,1.21,925,172.76,8.9,5541,4.6,0.757
CANDIDATE,CANDIDATE,0,0,0,0,4.04481159,133.60007,0.393,2.479,3.30E+01,0.67,1325,729.15,7.5,6358,4.359,1.141
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,25.94964132,148.9825267,0.945,11.6411,6.78E+01,2.06,753,76.14,7.6,5109,3.873,1.922
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,1.71051215,131.65812,0.057,1.284,4.22E+01,1.04,2004,3820.16,11.2,5925,3.989,1.589
CONFIRMED,CANDIDATE,0,0,0,0,62.869463,166.0137,0.954,6.842,3.42E+02,1.96,349,3.51,16.2,4762,4.535,0.781
FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,84.8062818,192.37227,1.265,9.0006,9.94E+03,36.51,388,5.33,121.6,5735,4.525,0.853
CONFIRMED,CANDIDATE,0,0,0,0,29.9632816,149.94353,0.855,2.6,8.93E+02,2.24,391,5.55,17.7,4463,4.623,0.638
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,17.99643716,134.910537,1.122,4.164,3.69E+04,30.08,468,11.31,123.5,4438,4.606,0.666
CONFIRMED,CANDIDATE,0,0,0,0,11.63486009,140.50071,0.053,5.466,2.92E+02,2.61,961,201.96,18.4,5570,4.066,1.548
CANDIDATE,CANDIDATE,0,0,0,0,4.8302364,134.9522,0.316,7.983,2.25E+01,1.06,1453,1052.42,11.6,5086,3.678,2.247
CANDIDATE,CANDIDATE,0,0,0,0,56.446465,170.59,0.874,7.371,1.48E+02,1.57,522,17.5,12.4,5995,4.337,1.117
CANDIDATE,CANDIDATE,0,0,0,0,31.4202111,132.7457,0.075,4.021,3.91E+02,1.45,471,11.6,10.6,5269,4.603,0.748
CONFIRMED,CANDIDATE,0,0,0,0,10.8118317,137.13426,0.896,2.627,7.68E+01,1.24,922,170.74,9.5,6025,4.331,1.196
CANDIDATE,CANDIDATE,0,0,0,0,5.56676609,132.49956,0.392,1.812,1.74E+02,1.12,859,128.51,12,5032,4.479,0.859
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1.208528832,131.97963,0.039,1.336,1.81E+02,1.25,1725,2084.15,10.6,6072,4.51,0.923
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,208.1871179,146.5337609,0.321,2.5404,3.95E+02,1.99,307,2.1,4.2,5780,4.438,1
FALSE POSITIVE,FALSE POSITIVE,1,0,1,0,0.93198504,131.62897,1.19,2.0472,3.27E+02,17.72,1647,1734.47,44.5,5470,4.509,0.777
FALSE POSITIVE,FALSE POSITIVE,1,0,1,0,0.60818508,131.62275,1.835,0.909,1.45E+02,96.03,2298,6637.9,18.9,5981,4.372,1.043
CANDIDATE,CANDIDATE,0,0,0,0,5.38613715,133.95782,0.197,1.943,1.69E+02,0.86,846,121.37,8.9,5516,4.669,0.656
CANDIDATE,CANDIDATE,0,0,0,0,13.2965044,136.5669,0.902,5.68,1.33E+02,0.88,488,13.42,9.1,4352,4.671,0.613
CANDIDATE,CANDIDATE,0,0,0,0,21.8420304,150.82731,0.208,3.843,7.95E+01,2.01,1016,251.46,9.5,6194,3.813,2.241
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,1.65320144,132.40988,0.148,1.525,1.32E+02,0.74,1059,296.8,6.7,4544,4.609,0.661
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,3.37487541,132.48977,0.389,3.085,5.38E+01,0.75,1287,649.96,8.3,6181,4.464,1.006
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,0.962825082,132.21375,0.088,2.8464,1.18E+02,5.18,3265,26811.24,40.7,4898,3.212,4.928
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,309.494217,375.9225,0.0542,13.716,2.92E+02,2.79,399,6.01,14.5,6908,4.085,1.614
CANDIDATE,CANDIDATE,0,0,0,0,0.876850385,131.77033,0.049,1.534,5.92E+01,1.35,2543,9858.55,9.7,6102,4.069,1.756
FALSE POSITIVE,FALSE POSITIVE,1,1,1,1,24.2382519,136.62118,0.82,2.703,4.66E+02,2.19,597,29.92,11.3,5763,4.527,0.904
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,24.2416103,155.0323,0.069,5.137,3.23E+02,1.61,596,29.92,10.8,5763,4.527,0.904
CANDIDATE,CANDIDATE,0,0,0,0,413.51856,374.3587,0.019,10.395,3.91E+02,1.96,254,0.98,7.9,6031,4.45,0.992
CANDIDATE,CANDIDATE,0,0,0,0,20.7106368,140.89982,0.604,2.693,1.43E+02,1.12,626,36.18,11,5631,4.478,0.901
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,69.3788597,154.19137,0.539,3.807,5.30E+02,2.07,421,7.4,16.8,5806,4.529,0.874
CONFIRMED,CANDIDATE,0,0,0,0,29.3493852,148.46564,0.75,4.313,6.59E+02,2.02,451,9.81,20.3,4987,4.613,0.722
CANDIDATE,CANDIDATE,0,0,0,0,3.43633133,132.42697,0.114,0.675,4.74E+02,1.44,945,188.22,14.5,5201,4.616,0.651
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,449.57274,153.3061,0.2059,9.328,2.21E+02,3.08,333,2.89,14.1,5691,3.842,2.079
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,245.059374,301.678,0.0927,9.549,1.65E+02,1.63,356,3.81,15.1,6036,4.127,1.265
CANDIDATE,CANDIDATE,0,0,0,0,142.703888,212.0311,0.062,5.808,2.26E+02,1.95,440,8.88,11,6701,4.326,1.289
CANDIDATE,CANDIDATE,0,0,0,0,3.38080537,133.94842,0.067,3.275,2.01E+02,1.69,1362,814.73,11.6,6072,4.343,1.193
CANDIDATE,CANDIDATE,0,0,0,0,10.4716194,136.2877,0.184,4.512,1.24E+02,1.74,1035,271.12,11.7,5812,4.083,1.574
CONFIRMED,CANDIDATE,0,0,0,0,11.49500229,141.27511,0.911,7.602,5.14E+01,1.53,1105,351.79,22.9,6033,3.985,1.788
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,0.708726708,132.08629,0.28,0.753,3.14E+02,0.92,1302,684.35,13.4,4607,4.733,0.515
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,283.72675,392.671,0.3461,15.49,8.46E+01,1.18,341,3.2,9.3,6496,4.301,1.257
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,373.60683,246.5809,0.588,8.752,5.35E+02,2.5,271,1.28,9.3,6184,4.448,1.038
CANDIDATE,CANDIDATE,0,0,0,0,6.78788113,136.3345,0.022,2.26,7.31E+01,2.44,1679,1875.92,7.8,6537,3.76,2.829
CANDIDATE,CANDIDATE,0,0,0,0,5.47455167,133.55529,0.931,3.71,7.32E+01,1.4,1155,419.95,10.8,5611,4.19,1.312
CANDIDATE,CANDIDATE,0,0,0,0,3.43861067,132.68641,0.629,1.264,4.68E+01,1.01,1348,779.48,9.5,5383,4.112,1.401
CANDIDATE,CANDIDATE,0,0,0,0,4.8754765,133.29167,0.084,1.902,3.96E+01,0.8,1180,458.62,8.8,5513,4.179,1.286
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,4.29388808,133.51002,0.272,3.618,1.11E+02,1.68,1532,1302.16,17.9,6615,4.173,1.574
FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,13.5437884,135.27623,1.269,5.7076,6.61E+03,32.21,658,44.22,114.4,5463,4.582,0.794
CONFIRMED,CANDIDATE,0,0,0,0,65.6491001,174.79319,0.038,7.298,9.84E+02,2.52,390,5.48,20.5,5436,4.573,0.819
CONFIRMED,CANDIDATE,0,0,0,0,25.1593389,153.0404,0.035,5.198,3.58E+02,1.76,619,34.7,13.1,5973,4.506,0.935
CANDIDATE,CANDIDATE,0,0,0,0,10.5071781,139.66432,0.232,2.68,2.72E+02,1.41,737,69.76,11.1,5290,4.46,0.865
CONFIRMED,CANDIDATE,0,0,0,0,31.7787564,136.76929,0.29,8.093,2.62E+02,1.5,564,23.96,25.9,5638,4.391,0.928
CANDIDATE,CANDIDATE,0,0,0,0,5.4398033,135.1594,0.136,3.256,8.55E+01,1,1112,361.47,8.4,6108,4.43,1.08
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,1.332568744,132.04697,0.751,3.755,2.41E+01,0.58,1941,3346.25,29.1,6620,4.411,1.081
CONFIRMED,CANDIDATE,0,0,0,0,9.0194714,139.9234,0.2805,5.92,1.92E+02,1.07,789,91.74,7.2,5775,4.59,0.768
CANDIDATE,CANDIDATE,0,0,0,0,8.8493948,139.786,0.819,6.928,4.38E+01,0.82,978,216.18,12.1,6095,4.349,1.11
CANDIDATE,CANDIDATE,0,0,0,0,51.567801,168.873,0.554,5.514,2.10E+02,1.3,433,8.3,13.5,5285,4.467,0.876
CANDIDATE,CANDIDATE,0,0,0,0,16.4491515,145.7441,0.866,6.696,7.09E+01,2.75,1036,272.9,11,5334,3.712,2.789
CANDIDATE,CANDIDATE,0,0,0,0,0.428046051,131.83682,0.041,0.776,1.26E+02,0.87,2017,3877.26,14.1,5285,4.566,0.775
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0.814278961,131.64806,0.451,2.087,7.20E+01,0.76,1762,2284.94,13,5537,4.539,0.886
CANDIDATE,CANDIDATE,0,0,0,0,19.254536,148.0172,0.806,4.754,1.86E+02,1.32,625,36.02,9.2,5668,4.545,0.868
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,2.1890751,132.09378,0.048,2.365,9.48E+01,0.87,1399,906.2,12.6,6077,4.526,0.891
CANDIDATE,CANDIDATE,0,0,0,0,384.6961,365.0874,0.5221,6.167,7.87E+02,1.78,157,0.14,8.2,4228,4.64,0.623
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,2.42649862,133.70347,0.673,2.014,2.92E+01,0.75,1638,1705.27,15.2,6033,4.176,1.316
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,8.80854183,134.02712,0.993,34.7564,1.75E+02,2.69,1000,236.05,137.3,6017,4.3,1.21
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,219.74735,239.9455,0.097,22.48,1.90E+02,3.24,427,7.82,12.7,5127,3.602,2.38
FALSE POSITIVE,FALSE POSITIVE,1,0,1,0,19.7639874,134.17,0.489,12.319,5.13E+01,1.19,900,155.45,13.5,6195,4.072,1.617
CONFIRMED,CANDIDATE,0,0,0,0,6.05919881,133.67437,0.438,1.365,1.54E+02,1.21,976,214.55,11.7,5734,4.462,0.962
CONFIRMED,CANDIDATE,0,0,0,0,7.5143967,136.1851,0.399,4.865,3.63E+01,0.96,1199,488.52,9.8,6206,4.159,1.573
CONFIRMED,CANDIDATE,0,0,0,0,33.1981761,142.09873,0.826,4.709,3.37E+02,3.21,678,49.9,11.8,5570,4.066,1.548
CONFIRMED,CANDIDATE,0,0,0,0,5.32784157,133.55005,0.116,4.696,8.72E+01,0.86,1023,259.32,15.9,5638,4.391,0.928
CANDIDATE,CANDIDATE,0,0,0,0,71.05457555,134.734589,0.061,1.9162,4.85E+03,5.91,390,5.45,95.9,5290,4.46,0.865
CANDIDATE,CANDIDATE,0,0,0,0,20.5512722,141.087,0.946,4.639,1.91E+02,1.64,607,32.01,20,5401,4.464,0.918
CONFIRMED,CANDIDATE,0,0,0,0,31.827649,134.59995,0.785,1.639,5.20E+02,4.98,668,47.21,16.4,4774,3.838,1.954
CANDIDATE,CANDIDATE,0,0,0,0,7.5861587,132.7988,0.858,4.32,1.17E+02,1.07,928,175.29,10.8,5934,4.444,0.871
CONFIRMED,CANDIDATE,0,0,0,0,0.824000125,131.80421,0.7697,0.855,1.83E+02,0.42,746,73.09,12.3,3396,4.991,0.28
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0.772152075,132.2074,1.009,1.78,4.36E+01,4.44,2966,18277.6,13.6,5951,3.787,2.08
CANDIDATE,CANDIDATE,0,0,0,0,42.04952379,167.3423568,0.23,2.1372,6.08E+02,1.19,303,2,5.1,4281,4.761,0.48
FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,1.08469871,131.7376,0.672,4.077,1.24E+02,1.11,1757,2247.25,16.9,5942,4.506,0.938
CANDIDATE,CANDIDATE,0,0,0,0,6.60180003,137.476,0.204,2.624,2.13E+02,1.25,875,138.25,8.1,5591,4.559,0.86
CANDIDATE,CANDIDATE,0,0,0,0,3.19938075,133.01116,0.268,1.761,7.61E+01,0.62,1026,262.08,9.8,5483,4.632,0.702
CANDIDATE,CANDIDATE,0,0,0,0,3.04185157,132.50422,0.176,1.434,6.90E+01,0.71,1184,465.54,11.1,5802,4.537,0.857
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,5.660274452,134.46727,1.092,0.9077,4.14E+02,11.02,950,192.77,26.4,5615,4.478,0.842
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1.23512429,132.00059,0.556,4.22,1.52E+01,0.38,1642,1722.78,15.7,5798,4.507,0.941
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,1.381257093,131.84079,0.351,1.125,9.23E+01,1.1,1728,2110.47,11,5861,4.385,1.131
CANDIDATE,CANDIDATE,0,0,0,0,1.89873195,132.09278,0.197,1.382,7.80E+01,0.93,1524,1279.95,10.2,5942,4.439,1.05
CANDIDATE,CANDIDATE,0,0,0,0,11.39110963,137.69665,0.569,2.749,5.93E+02,1.9,632,37.65,12.1,4999,4.587,0.76
CONFIRMED,CANDIDATE,0,0,0,0,2.41810158,132.38894,0.016,2.144,4.68E+01,0.85,1602,1555.96,13.4,6258,4.307,1.239
CANDIDATE,CANDIDATE,0,0,0,0,7.13044117,135.594,0.068,2.566,3.19E+01,1.18,1400,908.79,10.5,6312,3.964,2.074
CONFIRMED,CANDIDATE,0,0,0,0,33.4203001,159.1401,0.789,5.307,4.37E+02,2.46,581,27.02,8.9,5731,4.372,1.066
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,58.3437362,169.90401,1.246,22.482,1.27E+03,93.55,779,87.03,75,5896,3.65,3.006
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,1.070982122,131.98355,0.563,1.255,4.34E+01,0.98,2122,4811.39,9,5717,4.109,1.433
CANDIDATE,CANDIDATE,0,0,0,0,18.0939004,139.01706,0.445,3.294,4.67E+02,1.91,665,46.21,11.6,5904,4.543,0.867
CANDIDATE,CANDIDATE,0,0,0,0,34.9524256,163.52048,1.225,1.717,6.77E+02,21.74,429,8.02,15.8,4921,4.591,0.779
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,23.81578356,141.84883,0.958,3.7591,4.86E+03,8.4,560,23.2,71,5561,4.572,0.818
CONFIRMED,CANDIDATE,0,0,0,0,31.1748311,159.10049,0.016,3.79,2.00E+02,1.31,585,27.62,17,6086,4.511,0.921
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0.474811162,132.20477,0.44,1.169,2.05E+02,1.28,2206,5603.32,17.4,5799,4.539,0.878
CONFIRMED,CANDIDATE,0,0,0,0,47.0568476,161.05864,0.027,5.2232,1.53E+03,2.84,411,6.72,38,5288,4.613,0.74
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,367.73299,302.3576,0.0064,10.158,5.04E+02,2.1,266,1.19,11.2,6225,4.481,0.931
CANDIDATE,CANDIDATE,0,0,0,0,15.1516409,133.9226,0.173,5.105,1.92E+02,1.38,736,69.25,11.4,5780,4.438,1
CANDIDATE,CANDIDATE,0,0,0,0,7.4213444,137.493,0.1732,2.361,3.16E+02,1.73,953,195.23,8.7,6032,4.485,0.973
FALSE POSITIVE,FALSE POSITIVE,1,0,1,0,0.743495989,132.18904,1.144,2.255,1.73E+02,11.82,1617,1612.65,26,5345,4.639,0.686
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,1.405887031,132.01147,0.364,1.184,2.16E+02,0.95,1086,329.99,13.8,4440,4.618,0.653
CANDIDATE,CANDIDATE,0,0,0,0,17.7412303,144.3554,0.065,4.816,1.45E+02,1.14,684,51.69,9.2,5817,4.491,0.956
CANDIDATE,CANDIDATE,0,0,0,0,2.63527677,133.97919,0.646,1.997,7.04E+01,0.76,1136,394.32,10.7,5215,4.496,0.864
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1.45728997,131.5882,0.749,3.582,7.13E+01,0.93,1665,1818.19,15.5,6063,4.476,1.012
CANDIDATE,CANDIDATE,0,0,0,0,147.388124,174.6537,0.005,8.781,9.09E+02,3.03,356,3.78,15.8,6046,4.478,1.007
CANDIDATE,CANDIDATE,0,0,0,0,4.11497357,135.318,0.396,3.025,1.54E+02,1.17,1137,395.27,9.7,6011,4.507,0.927
