# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct  3 11:20:40 2025
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
#
toi,tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
1106.01,PC,2458630.7193700,11.1149000,2.2600000,900.0000000,14.7645000,21.9713000,603.0000000,10.0717000,523.4250000,5042.0000000,,4.9400000
1107.01,CP,2459336.0736460,4.0782392,4.8475616,6046.6959687,13.8981740,1619.0081232,1617.8267296,10.0068000,281.3140000,6501.0000000,4.0800000,1.7483600
1108.01,FP,2458655.5487200,7.1438600,1.4670000,11146.4000000,22.1531000,,,9.9410000,417.0800000,7860.0000000,4.1500000,1.9100000
1109.01,FP,2459083.3516800,7.0408300,2.9790000,1580.0000000,8.4640400,852.3360000,1505.0000000,9.7906000,102.2380000,5317.0000000,4.4900000,0.9100000
111.01,KP,2458326.1054860,2.1061569,1.4688934,12142.2238514,13.0868720,691.8428073,1308.0417533,13.1830000,508.8420000,5380.0000000,4.4337000,0.9406970
1110.01,FP,2460146.9901360,2.4545635,2.3210000,4248.0000000,11.1276000,2162.7300000,1899.0000000,9.6789000,243.8380000,6610.0000000,4.1500000,1.6400000
1111.01,FP,2460131.8898050,11.4756978,0.8080000,8341.0000000,14.1098000,11.4585000,512.0000000,9.3871000,312.4610000,7262.0000000,4.0000000,2.1300000
1112.01,FP,2458626.5416800,2.7818600,2.4560000,490.0000000,4.9256700,1323.2100000,1680.0000000,9.5162000,292.0850000,6819.0000000,3.9200000,2.2100000
1113.01,FP,2460140.2212050,6.4410082,1.7980000,7076.0000000,4.5920300,8.2114000,471.0000000,9.6686500,23.8853000,3469.0000000,4.7100000,0.5300000
1114.01,APC,2460148.6161950,2.4887726,2.6320000,4852.0000000,,773.3029498,1344.9531805,8.1129000,174.4750000,8048.0000000,4.4380000,
