Classification,Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
0,3.3686634,3.012,3288.0,42.2321,9856.24,2775.0,7518.0,3.82,2.68
0,11.2071839,4.366,3276.0,17.4989,813.063,1487.0,6152.0,3.84,2.24
1,4.8878037,2.184,4279.0,5.29152,71.6805,810.0,4757.3,4.56,0.76
0,0.660179,1.6349369,473.0939303,6.1672487,252487.7639,5717.153248,8598.7,4.1,2.62432
0,10.9278415,2.468,2743.0,49.1695,270.142,1129.0,6259.0,3.59,2.92
1,5.5514888,4.335,9493.0,15.8043,802.858,1482.0,6403.9,4.16,1.55
1,4.7423709,2.4988145,12650.81104,10.5505922,209.7699043,970.6340996,5377.0,4.42476,0.877585
1,1.4810903,4.1588291,6788.514539,20.3402421,33326.73049,3446.021057,9435.0,4.11,2.28773
1,3.4741012,3.317,15748.0,21.2912,3453.07,2084.333087,8894.8,4.38,1.62
1,21.745537,4.196,659.0,2.10208,28.2504,642.0,5704.0,4.51,0.93
0,13.0727479,3.044,4080.0,35.7944,221.343,1074.0,5709.8,3.37,3.59
1,2.7985802,2.3801043,16708.7152,11.9514993,332.556249,1089.145817,4920.0,4.49371,0.906655
1,2.2552845,2.05,20820.0,14.688,549.715,1348.0,5787.0,4.5,0.96
0,1.8824539,2.46,1391.0,8.29008,15173.2,3091.0,5900.4,4.39,1.13
0,2.1358631,1.559,10325.0,23.6019,1540.95,1745.0,5969.0,4.17,1.5
1,3.5862962,3.3710943,5729.324686,16.4747611,1787.595594,1658.39152,5704.8,3.84,2.00441
0,1.8296155,2.166,1406.0,29.3616,32867.0,3751.0,7875.0,3.61,3.5
0,11.1876137,3.183,4924.0,31.8624,838.609,1499.0,7266.0,4.06,2.05
1,7.0643978,2.424,8268.0,9.39131,104.311,890.0,5429.6,4.44,0.96
1,8.9534775,2.696,1136.0,2.35888,45.5604,723.0,5029.5,4.61,0.76
0,7.5022708,2.605,1760.0,5.55812,129.866,940.0,6229.0,4.31,1.27
1,14.0077666,5.8727493,5924.834967,12.4023108,264.4796635,1028.532029,6557.7,4.18,1.57435
