Classification,Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
CANDIDATE,2.052349884,2.0778,14300.0,13.12,1183.18,1497.0,5855.0,4.393,1.08
CANDIDATE,9.7704486,2.4517,1900.0,2.23,10.59,460.0,3906.0,4.73,0.509
CANDIDATE,5.169804269,2.153,1040.0,1.66,24.75,569.0,3906.0,4.73,0.509
CANDIDATE,21.22261195,6.5093,366.0,2.48,83.56,771.0,5945.0,4.213,1.302
CANDIDATE,20.09017037,4.154,1430.0,2.25,4.05,362.0,3906.0,4.73,0.509
CANDIDATE,7.11373257,2.1764,808.0,1.16,8.01,429.0,3561.0,4.855,0.411
CANDIDATE,3.306551643,1.8177,509.0,0.91,22.19,554.0,3561.0,4.855,0.411
CANDIDATE,15.36845737,2.4714,756.0,1.11,2.86,332.0,3561.0,4.855,0.411
CANDIDATE,13.81020318,3.048,1310.0,4.56,113.75,833.0,5942.0,4.327,1.142
CANDIDATE,4.093578461,2.5833,539.0,2.85,461.07,1182.0,6077.0,4.471,0.999
CANDIDATE,105.145959,8.593,685.0,3.43,6.09,401.0,6077.0,4.471,0.999
CANDIDATE,10.8484518,2.9993,1680.0,2.34,14.66,499.0,4201.0,4.682,0.591
CANDIDATE,6.66833241,1.915,362.0,1.18,28.06,587.0,4201.0,4.682,0.591
CANDIDATE,4.082274889,3.23015,17900.0,10.55,251.48,1016.0,5655.0,4.581,0.794
CANDIDATE,3.886655224,3.1646,582.0,1.87,246.29,1010.0,5662.0,4.61,0.738
CANDIDATE,42.1406089,5.083,896.0,1.85,3.49,349.0,4500.0,4.656,0.646
CANDIDATE,4.617490562,2.2618,576.0,1.62,66.47,728.0,4500.0,4.656,0.646
CANDIDATE,10.19849255,2.4283,634.0,1.75,23.11,559.0,4500.0,4.656,0.646
FALSE POSITIVE,5.795063956,3.2496,1690.0,4.33,192.74,950.0,5865.0,4.563,0.827
CANDIDATE,7.15681552,2.5882,867.0,2.47,88.23,782.0,5029.0,4.494,0.838
CANDIDATE,17.64830851,2.0873,763.0,2.43,26.49,579.0,5029.0,4.494,0.838
CANDIDATE,4.14810719,2.535,175.0,1.08,182.76,938.0,5029.0,4.494,0.838
CANDIDATE,16.51410989,4.1575,974.0,2.72,43.57,655.0,5527.0,4.488,0.866
CANDIDATE,30.1329298,5.172,1020.0,3.14,19.55,536.0,5527.0,4.488,0.866
CANDIDATE,4.79090809,2.603,251.0,1.36,227.24,990.0,5527.0,4.488,0.866
CANDIDATE,31.71981013,4.819,363.0,3.09,71.97,743.0,5869.0,4.024,1.626
CANDIDATE,99.6415962,4.448,953.0,2.64,3.97,360.0,5527.0,4.488,0.866
CANDIDATE,4.708326451,3.16114,7910.0,10.6,431.02,1162.0,5560.0,4.246,1.21
FALSE POSITIVE,16.37198661,3.8449,4150.0,540.37,8.71,438.0,4187.0,4.656,0.592
CANDIDATE,5.392026903,2.9804,1150.0,2.68,123.33,850.0,5198.0,4.589,0.801
CANDIDATE,2.494170338,1.1221,864.0,2.42,480.19,1194.0,5569.0,4.566,0.829
CANDIDATE,6.491682808,4.301,7160.0,9.66,301.54,1062.0,6123.0,4.413,1.107
FALSE POSITIVE,3.044770796,10.0134,1700.0,24.54,317.36,1076.0,5525.0,4.603,0.753
CANDIDATE,3.855603916,3.2179,16700.0,13.61,508.65,1212.0,6033.0,4.46,1.046
FALSE POSITIVE,3.855599139,3.183,1030.0,3.57,425.74,1158.0,5936.0,4.501,0.965
FALSE POSITIVE,38.47876629,5.04169,23500.0,13.26,13.01,484.0,5510.0,4.539,0.879
FALSE POSITIVE,37.60166128,8.30604,59100.0,27.22,31.86,606.0,6140.0,4.354,1.096
CANDIDATE,3.314947362,1.8007,1400.0,3.94,421.03,1155.0,5609.0,4.481,0.944
