Classification,Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
1,4.311780262,2.7251,1150,3.11,274.84,1038,5527,4.484,0.927
1,20.0504494,4.556,841,2.69,35.44,622,5527,4.484,0.927
1,9.76734503,1.6585,569,2.67,92.46,791,5527,4.484,0.927
1,119.0207044,8.1405,7430,8.98,4.25,366,5453,4.342,1.062
1,190.3200468,15.284,1140,7.78,7.8,426,5626,3.907,2.057
0,2.861159894,1.8832,1010,4.37,797.1,1355,6126,4.458,1.021
1,26.44439337,3.9783,1840,3.91,23.54,562,5427,4.463,0.929
1,51.53997972,6.3994,3640,5.51,9.67,450,5427,4.463,0.929
1,5.902245782,2.9003,702,2.43,173.74,926,5427,4.463,0.929
1,2.382951591,1.8876,392,1.86,583.01,1253,5427,4.463,0.929
1,21.02250608,4.1072,1770,3.07,17.48,521,5067,4.585,0.75
1,3.219814777,2.0642,488,1.69,234.93,998,5103,4.562,0.787
1,5.912273234,2.3254,961,1.73,27.72,585,4072,4.696,0.57
1,8.98581901,2.8606,881,1.65,15.9,509,4072,4.696,0.57
1,12.94066866,2.4845,42500,22.94,64.64,723,5875,4.572,0.809
0,20.5452375,2.517,219,2.41,71.57,742,5670,4.206,1.264
1,33.60123371,4.4056,7430,8.46,14.22,495,5149,4.447,0.93
1,6.76652928,2.9004,451,1.97,120.48,845,5149,4.447,0.93
1,4.347288783,2.1024,452,2.36,449.79,1174,5754,4.345,1.122
1,4.601811819,2.2607,756,2.35,152.91,896,4986,4.496,0.833
1,11.18719905,3.252,354,1.55,46.65,667,4986,4.496,0.833
1,4.220965778,3.0854,2260,2.62,29.68,595,3837,4.747,0.517
0,6.998099523,2.0488,20300,588.66,125.22,853,5612,4.566,0.829
1,5.95489993,2.3892,1410,2.33,38.52,635,4261,4.641,0.633
1,12.03987488,2.7363,1250,2.18,15.06,502,4261,4.641,0.633
1,20.83762895,2.3734,439,1.42,7.24,418,4261,4.641,0.633
0,8.8111022,5.0683,401,63.66,904.92,1399,6200,3.8,2.404
1,23.58917143,5.073,1200,3.16,13.34,487,4919,4.566,0.721
1,6.481633073,3.784,299,2.54,406.25,1145,5945,4.213,1.302
1,10.37168928,3.035,1250,3.2,63.68,720,5121,4.457,0.888
1,3.96996298,1.1757,299,1.78,229.37,992,5121,4.457,0.888
1,4.40841331,5.012,549,2.66,398,1139,6007,4.457,0.961
0,7.9426176,6.703,1590,4.68,140.57,878,5811,4.521,0.926
1,226.8904775,7.558,3140,4.53,0.73,236,5067,4.585,0.75
0,1.956811408,2.1958,24900,21.58,357.16,1109,5209,4.657,0.603
1,2.688899233,2.11275,37500,12.04,175.76,929,4820,4.667,0.639
1,9.439459486,2.8979,3040,4.16,52.32,686,5097,4.597,0.779
1,11.52306746,3.8757,507,3.13,174.81,927,5644,4.162,1.411
1,20.47748843,2.8364,1380,2.92,18.65,530,5097,4.597,0.779
1,3.336123113,1.9616,516,1.74,209.79,970,5097,4.597,0.779
1,8.01078456,2.312,1330,1.72,9.9,453,3713,4.779,0.47
1,12.07134205,4.3224,759,1.29,5.74,395,3713,4.779,0.47
1,20.99587872,2.6333,767,1.3,2.74,328,3713,4.779,0.47
